               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12474,            0.050336,                   0,            0.013848,            0.013223,           0.0017656,          0.00037484,             0.12223,            0.052666,                   0,              0.0005,              0.0005,              0.0955
                   1,             0.11649,            0.053425,                   0,            0.021845,            0.067769,           0.0059432,           0.0010071,             0.10921,             0.05867,                   0,           0.0010782,           0.0010782,            0.090078
                   2,             0.10483,             0.05643,                   0,            0.076241,             0.15207,             0.03175,           0.0064997,            0.097718,            0.061438,                   0,           0.0016327,           0.0016327,            0.084633
                   3,            0.095458,            0.057881,                   0,             0.14053,             0.20496,             0.10377,            0.021414,            0.090063,            0.058191,                   0,           0.0021634,           0.0021634,            0.079163
                   4,            0.087156,            0.053411,                   0,             0.16879,             0.30413,             0.13401,            0.024453,            0.084366,            0.072876,                   0,           0.0026703,           0.0026703,             0.07367
                   5,            0.081794,            0.048671,                   0,             0.33103,             0.33884,             0.22981,            0.044794,            0.080225,            0.072627,                   0,           0.0031535,           0.0031535,            0.068154
                   6,            0.077408,            0.044685,                   0,             0.31466,             0.42645,             0.27673,            0.064144,              0.0771,            0.074011,                   0,           0.0036129,           0.0036129,            0.062613
                   7,             0.07203,            0.043331,                   0,             0.33571,             0.50083,              0.2967,              0.0681,            0.068457,            0.067971,                   0,           0.0040486,           0.0040486,            0.057049
                   8,            0.085069,            0.039683,                   0,             0.11074,             0.19174,            0.087512,             0.01458,            0.092944,            0.047995,                   0,           0.0044605,           0.0044605,             0.05146
                   9,            0.081794,            0.040272,                   0,             0.32551,             0.33719,             0.23064,            0.053108,             0.08152,            0.052124,                   0,           0.0048486,           0.0048486,            0.045849
                  10,            0.076493,            0.040166,                   0,             0.24265,             0.42975,             0.19364,            0.034355,            0.087947,             0.06274,                   0,            0.005213,            0.005213,            0.040213
                  11,            0.078782,            0.037997,                   0,             0.22691,             0.56198,             0.19191,            0.036804,            0.075644,            0.050977,                   0,           0.0055536,           0.0055536,            0.034554
                  12,            0.077995,            0.037905,                   0,             0.40592,             0.51405,             0.40529,             0.11633,            0.066978,             0.04627,                   0,           0.0058705,           0.0058705,             0.02887
                  13,            0.063275,             0.03885,                   0,             0.43713,             0.49548,             0.39303,            0.078103,            0.071159,            0.060916,                   0,           0.0061636,           0.0061636,            0.023164
                  14,            0.067344,            0.038195,                   0,            0.094635,             0.72562,            0.088176,            0.018347,            0.069946,            0.066286,                   0,           0.0064329,           0.0064329,            0.017433
                  15,             0.06493,            0.038887,                   0,             0.35464,             0.53554,             0.32838,            0.095528,            0.060216,            0.047667,                   0,           0.0066785,           0.0066785,            0.011678
                  16,            0.058254,            0.038181,                   0,             0.39364,             0.58347,             0.37958,            0.080825,            0.062349,            0.058787,                   0,            0.006832,            0.006832,            0.006832
                  17,            0.060344,            0.035846,                   0,             0.28183,             0.61322,             0.28318,            0.065986,             0.06115,            0.062156,                   0,            0.006832,            0.006832,            0.006832
                  18,            0.053707,            0.035059,                   0,             0.55579,             0.76364,             0.55808,             0.10924,            0.058102,            0.059096,                   0,            0.006634,            0.006634,            0.006634
                  19,            0.058358,            0.034336,                   0,             0.54546,             0.67107,             0.56544,             0.18996,            0.049465,             0.04651,                   0,            0.006436,            0.006436,            0.006436
                  20,            0.045764,            0.034166,                   0,             0.68577,             0.69917,             0.68401,             0.20406,            0.045804,            0.048954,                   0,            0.006238,            0.006238,            0.006238
                  21,            0.049511,            0.033734,                   0,              0.6257,             0.82645,             0.71528,             0.22673,            0.043307,            0.046533,                   0,             0.00604,             0.00604,             0.00604
                  22,            0.044077,            0.032611,                   0,             0.49426,             0.87273,             0.61306,             0.25015,            0.039749,            0.039725,                   0,            0.005842,            0.005842,            0.005842
                  23,            0.043885,              0.0333,                   0,             0.85769,             0.86612,              0.8631,             0.35311,            0.039937,             0.03604,                   0,            0.005644,            0.005644,            0.005644
                  24,            0.041173,            0.032659,                   0,             0.85138,             0.88264,             0.87075,             0.46028,            0.034799,            0.034924,                   0,            0.005446,            0.005446,            0.005446
                  25,            0.040834,            0.031861,                   0,             0.81302,              0.8281,             0.85338,             0.38259,             0.03683,            0.034495,                   0,            0.005248,            0.005248,            0.005248
                  26,            0.033457,            0.032068,                   0,             0.81036,              0.9041,             0.85865,             0.47214,              0.0329,            0.035751,                   0,             0.00505,             0.00505,             0.00505
                  27,            0.035689,            0.030927,                   0,             0.82426,             0.93058,             0.88313,             0.51085,            0.032944,              0.0344,                   0,            0.004852,            0.004852,            0.004852
                  28,            0.036327,            0.031244,                   0,              0.8839,             0.90744,             0.89693,             0.47952,            0.032713,            0.034185,                   0,            0.004654,            0.004654,            0.004654
                  29,            0.035627,            0.029737,                   0,             0.88271,             0.92055,             0.91815,             0.55701,            0.029536,            0.031451,                   0,            0.004456,            0.004456,            0.004456
                  30,            0.035917,            0.031209,                   0,             0.88852,             0.93554,             0.92781,             0.55465,            0.027298,            0.030827,                   0,            0.004258,            0.004258,            0.004258
                  31,            0.031904,             0.02871,                   0,             0.89288,             0.92312,             0.92526,             0.56717,            0.027084,            0.031239,                   0,             0.00406,             0.00406,             0.00406
                  32,            0.032434,            0.029089,                   0,             0.89658,             0.93223,             0.93735,             0.58769,            0.025189,             0.02996,                   0,            0.003862,            0.003862,            0.003862
