               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11782,            0.055597,                   0,             0.09366,              0.1162,            0.031353,           0.0056935,             0.10164,            0.064311,                   0,              0.0013,              0.0013,              0.0883
                   1,            0.094683,            0.058033,                   0,              0.1348,             0.26883,            0.082709,            0.013756,            0.098446,            0.071741,                   0,           0.0026733,           0.0026733,            0.075673
                   2,            0.081168,             0.04841,                   0,             0.21323,             0.31371,             0.16211,            0.028834,            0.083995,             0.10542,                   0,           0.0040188,           0.0040188,            0.063019
                   3,            0.073469,            0.043896,                   0,             0.35928,             0.46036,             0.35255,            0.092561,            0.082073,             0.10637,                   0,           0.0053367,           0.0053367,            0.050337
                   4,            0.065947,            0.041791,                   0,              0.4556,             0.51919,             0.45343,             0.12594,            0.068252,            0.078951,                   0,           0.0066268,           0.0066268,            0.037627
                   5,            0.059605,            0.040737,                   0,             0.49157,             0.52634,              0.4902,             0.14391,            0.063326,            0.066818,                   0,           0.0078891,           0.0078891,            0.024889
                   6,            0.067986,            0.052297,                   0,             0.39001,             0.39488,             0.32938,             0.07714,            0.067721,            0.072243,                   0,           0.0091238,           0.0091238,            0.012124
                   7,            0.070473,            0.041579,                   0,             0.37346,             0.59823,             0.35666,            0.065923,            0.069435,            0.085447,                   0,            0.009307,            0.009307,            0.009307
                   8,            0.060139,            0.040027,                   0,             0.43437,             0.65436,             0.45979,             0.11435,            0.067132,            0.061096,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.057637,            0.038763,                   0,             0.53236,             0.68719,             0.57465,             0.21749,             0.05281,            0.054334,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.046766,            0.035524,                   0,             0.65091,             0.72132,             0.71907,             0.34849,            0.042533,            0.048165,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.048285,             0.03551,                   0,             0.85157,             0.86722,             0.89177,             0.45526,            0.039269,            0.038601,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.041233,            0.034509,                   0,             0.90838,             0.83474,              0.8907,             0.48776,            0.037112,            0.045227,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.042534,              0.0339,                   0,             0.93585,             0.84033,             0.93071,             0.49408,            0.039645,            0.036294,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.042518,            0.032547,                   0,             0.93967,             0.86755,             0.93106,             0.54238,            0.032522,            0.034922,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.035593,            0.031678,                   0,             0.98474,             0.88959,             0.95426,             0.59645,            0.028739,            0.033863,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.036263,            0.032292,                   0,             0.96608,             0.89956,             0.95758,             0.61107,            0.031383,            0.032449,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.034833,            0.030323,                   0,             0.97459,              0.9094,             0.95919,             0.60108,            0.029009,            0.031917,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.033984,            0.029464,                   0,             0.97662,             0.90645,             0.95666,             0.66256,            0.029343,            0.032108,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.033802,            0.029197,                   0,             0.98783,             0.91954,             0.97542,             0.64816,            0.027998,            0.030171,                   0,            0.008218,            0.008218,            0.008218
